Ticker,Date,Pos,Neu,Neg,Normalized
A,2019-08-14,0.101,0.884,0.014,1
AAL,2019-10-24,0.133,0.847,0.02,1
AAP,2019-11-12,0.121,0.863,0.015,1
AAPL,2019-10-30,0.13,0.851,0.018,1
ABBV,2019-11-01,0.118,0.862,0.02,1
ABC,2019-11-07,0.173,0.81,0.017,1
ABMD,2019-10-31,0.128,0.841,0.031,1
ABT,2019-10-16,0.138,0.843,0.02,1
ACN,2019-09-26,0.135,0.859,0.007,1
ADBE,2019-09-17,0.134,0.855,0.011,1
ADI,2019-08-21,0.124,0.851,0.025,1
ADM,2019-10-31,0.107,0.868,0.025,1
ADP,2019-10-30,0.11,0.871,0.019,1
ADS,2019-10-24,0.127,0.85,0.024,1
ADSK,2019-08-27,0.121,0.867,0.012,1
AEE,2019-11-08,0.126,0.864,0.01,1
AEP,2019-10-24,0.129,0.857,0.014,1
AES,2019-11-06,0.112,0.87,0.018,1
AFL,2019-10-24,0.087,0.89,0.022,1
AIG,2019-11-01,0.113,0.843,0.044,1
AIV,2019-10-31,0.112,0.867,0.022,1
AIZ,2019-11-05,0.113,0.867,0.02,1
AJG,2019-10-24,0.138,0.836,0.025,1
AKAM,2019-10-28,0.146,0.833,0.022,1
ALB,2019-11-06,0.104,0.876,0.021,1
ALGN,2019-10-23,0.084,0.899,0.017,1
ALK,2019-10-24,0.138,0.847,0.015,1
ALL,2019-10-29,0.117,0.856,0.027,1
ALLE,2019-10-24,0.114,0.871,0.015,1
ALXN,2019-10-23,0.128,0.856,0.015,1
AMAT,2019-11-14,0.099,0.882,0.019,1
AMCR,2019-08-20,0.125,0.861,0.015,1
AMD,2019-10-29,0.124,0.864,0.013,1
AME,2019-10-31,0.123,0.86,0.017,1
AMG,2019-10-28,0.161,0.827,0.012,1
AMGN,2019-10-29,0.106,0.876,0.018,1
AMP,2019-10-23,0.147,0.837,0.017,1
AMT,2019-10-31,0.105,0.877,0.018,1
AMZN,2019-10-24,0.125,0.861,0.014,1
ANET,2019-10-31,0.08,0.898,0.022,1
ANSS,2019-11-06,0.143,0.842,0.015,1
ANTM,2019-10-23,0.158,0.828,0.014,1
AON,2019-10-25,0.156,0.829,0.015,1
AOS,2019-10-29,0.078,0.9,0.022,1
APA,2019-10-30,0.111,0.864,0.024,1
APD,2019-11-07,0.132,0.846,0.023,1
APH,2019-10-23,0.111,0.859,0.03,1
APTV,2019-10-30,0.12,0.86,0.021,1
ARE,2019-10-28,0.136,0.843,0.021,1
ARNC,2019-11-05,0.085,0.9,0.015,1
ATO,2019-11-06,0.144,0.844,0.012,1
ATVI,2019-11-07,0.148,0.832,0.02,1
AVB,2019-10-28,0.106,0.879,0.015,1
AVGO,2019-09-12,0.098,0.884,0.019,1
AVY,2019-10-23,0.11,0.871,0.019,1
AWK,2019-10-23,0.105,0.883,0.011,1
AXP,2019-10-18,0.114,0.877,0.01,1
AZO,2019-09-24,0.134,0.844,0.022,1
BA,2019-10-23,0.104,0.878,0.017,1
BAC,2019-10-16,0.131,0.846,0.023,1
BAX,2019-10-24,0.128,0.858,0.014,1
BBY,2019-08-29,0.153,0.826,0.02,1
BDX,2019-11-05,0.113,0.873,0.014,1
BEN,2019-10-25,0.108,0.868,0.025,1
BIIB,2019-10-22,0.102,0.878,0.02,1
BK,2019-10-16,0.135,0.847,0.018,1
BKNG,2019-11-07,0.117,0.867,0.016,1
BKR,2019-10-30,0.135,0.845,0.02,1
BLK,2019-10-15,0.143,0.831,0.026,1
BLL,2019-10-31,0.109,0.877,0.013,1
BMY,2019-10-31,0.09,0.888,0.022,1
BR,2019-11-06,0.16,0.825,0.015,1
BSX,2019-10-23,0.137,0.843,0.02,1
BWA,2019-10-31,0.098,0.886,0.016,1
BXP,2019-10-30,0.116,0.865,0.02,1
C,2019-10-15,0.123,0.862,0.015,1
CAG,2019-09-26,0.11,0.874,0.017,1
CAH,2019-11-07,0.126,0.861,0.013,1
CAT,2019-10-23,0.102,0.859,0.039,1
CBOE,2019-10-31,0.126,0.86,0.014,1
CBRE,2019-11-06,0.109,0.881,0.011,1
CBS,2019-11-12,0.1,0.893,0.006,1
CDNS,2019-10-21,0.134,0.856,0.01,1
CDW,2019-10-31,0.135,0.853,0.012,1
CE,2019-10-22,0.099,0.883,0.019,1
CERN,2019-10-24,0.127,0.863,0.011,1
CF,2019-10-31,0.089,0.888,0.023,1
CFG,2019-10-18,0.133,0.846,0.021,1
CHD,2019-10-31,0.117,0.865,0.018,1
CHRW,2019-10-30,0.109,0.876,0.015,1
CHTR,2019-10-25,0.106,0.873,0.021,1
CI,2019-10-31,0.121,0.867,0.012,1
CINF,2019-10-25,0.102,0.857,0.041,1
CL,2019-11-01,0.153,0.825,0.022,1
CLX,2019-10-31,0.172,0.798,0.03,1
CMA,2019-10-16,0.117,0.852,0.031,1
CMCSA,2019-10-24,0.133,0.853,0.014,1
CMG,2019-10-22,0.143,0.849,0.008,1
CMI,2019-10-29,0.089,0.877,0.033,1
CMS,2019-10-24,0.124,0.858,0.018,1
CNC,2019-10-22,0.1,0.883,0.016,1
CNP,2019-11-07,0.119,0.867,0.014,1
COF,2019-10-24,0.116,0.862,0.021,1
COG,2019-10-25,0.124,0.859,0.017,1
COO,2019-08-29,0.132,0.852,0.016,1
COP,2019-10-29,0.105,0.875,0.021,1
COST,2019-10-03,0.114,0.876,0.01,1
COTY,2019-11-06,0.137,0.84,0.022,1
CPB,2019-08-30,0.144,0.839,0.017,1
CPRI,2019-11-06,0.114,0.868,0.018,1
CPRT,2019-11-21,0.132,0.848,0.021,1
CRM,2019-08-22,0.117,0.875,0.009,1
CSCO,2019-11-13,0.113,0.862,0.025,1
CSZ,2019-10-16,0.126,0.853,0.021,1
CTAS,2019-09-24,0.115,0.858,0.028,1
CTL,2019-11-06,0.135,0.859,0.006,1
CTSH,2019-10-30,0.127,0.848,0.024,1
CTVA,2019-10-31,0.099,0.882,0.02,1
CTXS,2019-10-24,0.111,0.879,0.01,1
CVS,2019-11-06,0.107,0.882,0.011,1
CVX,2019-11-01,0.105,0.874,0.021,1
CXO,2019-10-30,0.134,0.854,0.012,1
D,2019-11-01,0.099,0.89,0.011,1
DAL,2019-10-10,0.133,0.851,0.016,1
DD,2019-10-31,0.127,0.85,0.023,1
DFS,2019-10-22,0.123,0.859,0.018,1
DGX,2019-10-22,0.137,0.849,0.015,1
DHI,2019-11-12,0.115,0.867,0.018,1
DHR,2019-10-24,0.134,0.854,0.012,1
DIS,2019-08-06,0.101,0.871,0.028,1
DISCA,2019-11-07,0.142,0.837,0.021,1
DLR,2019-10-29,0.147,0.838,0.016,1
DLTR,2019-08-29,0.126,0.856,0.018,1
DOV,2019-10-17,0.134,0.838,0.028,1
DOW,2019-10-24,0.091,0.877,0.032,1
DRE,2019-10-31,0.106,0.877,0.017,1
DRI,2019-09-18,0.136,0.85,0.014,1
DTE,2019-10-28,0.129,0.866,0.005,1
DUK,2019-11-08,0.161,0.827,0.011,1
DVA,2019-11-05,0.113,0.863,0.024,1
DXC,2019-11-11,0.116,0.867,0.017,1
EA,2019-10-29,0.134,0.843,0.023,1
EBAY,2019-10-23,0.12,0.858,0.022,1
ECL,2019-10-29,0.128,0.845,0.027,1
EFX,2019-10-23,0.136,0.84,0.023,1
EIX,2019-10-29,0.091,0.86,0.049,1
EL,2019-10-31,0.174,0.807,0.02,1
EMN,2019-10-25,0.123,0.839,0.037,1
EMR,2019-11-05,0.107,0.875,0.019,1
EOG,2019-11-07,0.151,0.836,0.013,1
EQIX,2019-10-30,0.108,0.879,0.013,1
EQR,2019-10-23,0.113,0.857,0.03,1
ES,2019-11-06,0.122,0.865,0.013,1
ESS,2019-10-24,0.121,0.856,0.023,1
ETFC,2019-10-17,0.114,0.865,0.021,1
ETN,2019-10-29,0.115,0.86,0.024,1
ETR,2019-10-30,0.118,0.862,0.019,1
EVRG,2019-11-07,0.093,0.888,0.019,1
EW,2019-10-23,0.158,0.819,0.023,1
EXC,2019-10-31,0.116,0.852,0.032,1
EXPE,2019-11-06,0.139,0.839,0.022,1
EXR,2019-10-30,0.1,0.875,0.026,1
F,2019-10-23,0.123,0.854,0.023,1
FANG,2019-11-05,0.121,0.851,0.028,1
FAST,2019-10-11,0.103,0.87,0.028,1
FB,2019-10-30,0.127,0.855,0.018,1
FBHS,2019-10-23,0.162,0.825,0.013,1
FCX,2019-10-23,0.097,0.878,0.025,1
FDX,2019-09-17,0.115,0.847,0.038,1
FE,2019-11-04,0.089,0.898,0.013,1
FFIV,2019-10-23,0.094,0.896,0.009,1
FI,2019-11-05,0.131,0.86,0.01,1
FISV,2019-11-06,0.127,0.865,0.008,1
FITB,2019-10-22,0.13,0.847,0.024,1
FLIR,2019-10-31,0.111,0.874,0.015,1
FLS,2019-10-31,0.134,0.839,0.028,1
FLTY,2019-11-06,0.115,0.869,0.016,1
FMC,2019-10-30,0.13,0.849,0.022,1
FOX,2019-11-06,0.123,0.869,0.008,1
FOXA,2019-11-06,0.123,0.869,0.008,1
FRC,2019-10-15,0.135,0.848,0.016,1
FRT,2019-10-31,0.128,0.845,0.027,1
FTI,2019-10-24,0.131,0.856,0.013,1
FTNT,2019-10-31,0.146,0.844,0.01,1
FTV,2019-10-24,0.127,0.854,0.018,1
GDS,2019-11-14,0.094,0.882,0.024,1
GE,2019-10-30,0.124,0.843,0.033,1
GILD,2019-10-24,0.122,0.868,0.009,1
GIS,2019-09-18,0.119,0.868,0.013,1
GL,2019-10-24,0.071,0.915,0.014,1
GLW,2019-10-29,0.097,0.883,0.019,1
GM,2019-10-29,0.12,0.856,0.024,1
GME,2019-09-10,0.154,0.829,0.017,1
GOOG,2019-10-28,0.149,0.844,0.007,1
GOOGL,2019-10-28,0.149,0.844,0.007,1
GPC,2019-10-17,0.129,0.851,0.019,1
GPN,2019-10-31,0.111,0.882,0.007,1
GPS,2019-11-21,0.149,0.831,0.019,1
GRMN,2019-10-30,0.144,0.839,0.017,1
GS,2019-10-15,0.129,0.853,0.018,1
GWW,2019-10-23,0.133,0.845,0.023,1
HAL,2019-10-21,0.13,0.851,0.02,1
HAS,2019-10-22,0.118,0.86,0.021,1
HBAN,2019-10-24,0.163,0.819,0.018,1
HBI,2019-10-31,0.13,0.854,0.017,1
HCA,2019-10-29,0.126,0.86,0.014,1
HD,2019-11-19,0.127,0.855,0.017,1
HES,2019-10-30,0.089,0.892,0.018,1
HFC,2019-10-31,0.089,0.883,0.029,1
HIG,2019-11-05,0.137,0.829,0.035,1
HII,2019-11-07,0.09,0.891,0.019,1
HLT,2019-10-23,0.124,0.854,0.022,1
HOG,2019-10-22,0.121,0.853,0.026,1
HOLX,2019-11-06,0.122,0.861,0.017,1
HON,2019-10-17,0.16,0.82,0.02,1
HP,2019-11-15,0.092,0.875,0.033,1
HPE,2019-08-27,0.135,0.839,0.026,1
HPQ,2019-08-22,0.142,0.837,0.021,1
HRB,2019-08-28,0.116,0.86,0.024,1
HRL,2019-08-22,0.127,0.851,0.022,1
HSIC,2019-11-05,0.16,0.821,0.02,1
HST,2019-11-06,0.097,0.883,0.02,1
HSY,2019-10-24,0.115,0.871,0.014,1
HUM,2019-11-06,0.129,0.855,0.016,1
IBM,2019-10-16,0.104,0.883,0.013,1
ICE,2019-10-31,0.117,0.87,0.013,1
IDXX,2019-10-31,0.146,0.843,0.011,1
IEX,2019-10-30,0.102,0.864,0.034,1
IFF,2019-11-05,0.149,0.84,0.011,1
ILMN,2019-10-24,0.096,0.881,0.024,1
INCY,2019-10-29,0.113,0.875,0.012,1
INFO,2019-09-24,0.138,0.842,0.02,1
INTC,2019-10-24,0.121,0.861,0.019,1
INTU,2019-08-22,0.134,0.854,0.012,1
IP,2019-10-31,0.115,0.86,0.025,1
IPG,2019-10-22,0.148,0.837,0.015,1
IPGP,2019-10-29,0.095,0.868,0.036,1
IQV,2019-10-30,0.128,0.861,0.011,1
IR,2019-10-29,0.114,0.87,0.016,1
IRM,2019-10-31,0.126,0.857,0.017,1
ISRG,2019-10-17,0.1,0.888,0.012,1
IT,2019-10-31,0.117,0.874,0.009,1
ITW,2019-10-25,0.109,0.872,0.019,1
IVZ,2019-10-23,0.127,0.853,0.02,1
J,2019-08-05,0.125,0.867,0.008,1
JBHT,2019-10-15,0.09,0.892,0.018,1
JCI,2019-11-07,0.111,0.872,0.017,1
JKHY,2019-11-06,0.12,0.868,0.013,1
JNJ,2019-10-15,0.179,0.801,0.02,1
JNPR,2019-10-24,0.136,0.843,0.021,1
JPM,2019-10-15,0.113,0.852,0.036,1
JWN,2019-11-21,0.114,0.878,0.008,1
K,2019-10-29,0.151,0.828,0.021,1
KEY,2019-10-17,0.114,0.862,0.024,1
KEYS,2019-08-21,0.116,0.872,0.012,1
KHC,2019-10-31,0.135,0.844,0.02,1
KIM,2019-10-24,0.111,0.866,0.023,1
KLAC,2019-10-30,0.123,0.86,0.017,1
KMB,2019-10-22,0.137,0.851,0.011,1
KMI,2019-09-16,0.133,0.842,0.025,1
KMX,2019-09-24,0.109,0.878,0.013,1
KO,2019-10-18,0.118,0.871,0.011,1
KSS,2019-11-19,0.181,0.808,0.011,1
KSU,2019-10-18,0.133,0.846,0.02,1
L,2019-10-28,0.134,0.822,0.045,1
LB,2019-11-21,0.141,0.845,0.014,1
LDOS,2019-10-29,0.11,0.872,0.017,1
LEG,2019-10-29,0.093,0.878,0.028,1
LEN,2019-10-02,0.129,0.843,0.028,1
LH,2019-10-24,0.148,0.836,0.016,1
LHX,2019-10-30,0.12,0.87,0.009,1
LKQ,2019-10-31,0.11,0.868,0.022,1
LLY,2019-10-23,0.131,0.85,0.02,1
LMT,2019-10-22,0.129,0.85,0.021,1
LNC,2019-10-31,0.106,0.874,0.02,1
LNT,2019-11-07,0.099,0.883,0.018,1
LRCX,2019-10-23,0.13,0.856,0.014,1
LUV,2019-10-24,0.135,0.845,0.02,1
LVS,2019-10-23,0.135,0.842,0.023,1
LW,2019-10-02,0.127,0.846,0.027,1
LYB,2019-11-01,0.1,0.866,0.034,1
M,2019-11-21,0.126,0.855,0.018,1
MA,2019-10-29,0.105,0.88,0.015,1
MAA,2019-10-31,0.142,0.834,0.024,1
MAC,2019-10-31,0.086,0.897,0.017,1
MAR,2019-11-05,0.146,0.828,0.026,1
MAS,2019-10-30,0.105,0.879,0.016,1
MCD,2019-10-22,0.152,0.838,0.01,1
MCHP,2019-11-05,0.089,0.868,0.042,1
MCO,2019-10-30,0.121,0.851,0.028,1
MDLZ,2019-10-29,0.126,0.858,0.016,1
MDT,2019-11-19,0.143,0.841,0.016,1
MET,2019-10-31,0.131,0.839,0.031,1
MGM,2019-10-30,0.14,0.838,0.022,1
MHK,2019-10-25,0.121,0.856,0.023,1
MKC,2019-10-01,0.135,0.849,0.016,1
MKTX,2019-10-23,0.111,0.876,0.014,1
MLM,2019-10-29,0.115,0.868,0.017,1
MMC,2019-10-29,0.135,0.841,0.023,1
MMM,2019-10-24,0.121,0.861,0.018,1
MNST,2019-11-07,0.102,0.883,0.015,1
MO,2019-10-31,0.123,0.865,0.012,1
MOS,2019-11-05,0.102,0.864,0.034,1
MOTS,2019-11-14,0.088,0.904,0.008,1
MPC,2019-10-31,0.108,0.877,0.015,1
MRK,2019-10-29,0.128,0.842,0.03,1
MRO,2019-11-07,0.161,0.826,0.013,1
MS,2019-10-17,0.134,0.844,0.021,1
MSCI,2019-10-31,0.136,0.85,0.014,1
MSFT,2019-10-23,0.135,0.85,0.014,1
MSI,2019-10-30,0.114,0.873,0.012,1
MTB,2019-10-17,0.078,0.9,0.022,1
MTD,2019-11-07,0.151,0.829,0.02,1
MU,2019-09-26,0.104,0.866,0.03,1
MXIM,2019-10-29,0.124,0.856,0.02,1
MYL,2019-11-05,0.13,0.851,0.02,1
NBL,2019-11-07,0.131,0.857,0.011,1
NCLH,2019-11-07,0.122,0.861,0.017,1
NDAQ,2019-10-23,0.12,0.87,0.01,1
NEE,2019-10-22,0.135,0.85,0.015,1
NEM,2019-11-05,0.125,0.855,0.019,1
NFLX,2019-10-16,0.128,0.861,0.011,1
NI,2019-10-30,0.106,0.872,0.022,1
NKE,2019-09-24,0.153,0.826,0.02,1
NLOK,2019-11-07,0.092,0.895,0.013,1
NLSN,2019-11-07,0.133,0.854,0.013,1
NOC,2019-10-24,0.123,0.855,0.023,1
NOV,2019-10-29,0.131,0.849,0.02,1
NOW,2019-10-23,0.148,0.84,0.012,1
NRG,2019-11-07,0.125,0.862,0.014,1
NSC,2019-10-23,0.118,0.858,0.023,1
NTAP,2019-11-13,0.117,0.867,0.016,1
NTRS,2019-10-23,0.143,0.84,0.018,1
NUE,2019-10-22,0.115,0.865,0.019,1
NVDA,2019-11-14,0.092,0.894,0.014,1
NVS,2019-10-22,0.131,0.848,0.021,1
NWL,2019-11-01,0.153,0.829,0.018,1
NWSA,2019-11-07,0.099,0.88,0.021,1
O,2019-11-05,0.085,0.903,0.012,1
ODFL,2019-10-24,0.128,0.845,0.026,1
OKE,2019-10-30,0.105,0.881,0.013,1
OMC,2019-10-15,0.096,0.885,0.019,1
ORCL,2019-09-11,0.104,0.869,0.027,1
ORLY,2019-10-24,0.126,0.853,0.021,1
OXY,2019-11-05,0.105,0.879,0.016,1
PAYX,2019-10-02,0.129,0.854,0.016,1
PBCT,2019-10-17,0.121,0.859,0.02,1
PCAR,2019-10-22,0.091,0.896,0.013,1
PEG,2019-10-31,0.101,0.882,0.018,1
PEP,2019-10-03,0.168,0.819,0.013,1
PFE,2019-10-29,0.123,0.858,0.019,1
PFG,2019-10-25,0.138,0.837,0.026,1
PG,2019-10-22,0.185,0.803,0.011,1
PGR,2019-11-07,0.108,0.867,0.025,1
PH,2019-10-31,0.097,0.884,0.018,1
PHM,2019-10-22,0.117,0.865,0.018,1
PKG,2019-10-24,0.11,0.871,0.019,1
PKI,2019-10-30,0.151,0.817,0.033,1
PLD,2019-10-15,0.098,0.878,0.024,1
PM,2019-10-17,0.111,0.874,0.015,1
PNC,2019-10-16,0.12,0.859,0.022,1
PNR,2019-10-23,0.133,0.854,0.013,1
PNW,2019-11-07,0.083,0.895,0.022,1
PPG,2019-10-17,0.097,0.879,0.024,1
PPL,2019-11-05,0.098,0.886,0.015,1
PRGO,2019-11-06,0.113,0.861,0.026,1
PRU,2019-11-05,0.104,0.873,0.022,1
PSA,2019-10-30,0.111,0.868,0.02,1
PSX,2019-10-25,0.09,0.888,0.022,1
PVH,2019-08-29,0.108,0.874,0.018,1
PWR,2019-10-31,0.117,0.864,0.019,1
PXD,2019-08-07,0.083,0.896,0.02,1
PYPL,2019-10-23,0.108,0.876,0.017,1
QCOM,2019-11-06,0.088,0.907,0.005,1
QRVO,2019-10-31,0.118,0.863,0.019,1
RCL,2019-10-30,0.12,0.862,0.017,1
RE,2019-10-29,0.128,0.824,0.048,1
REG,2019-10-31,0.131,0.852,0.017,1
REGN,2019-11-05,0.121,0.853,0.026,1
REIT,2019-10-17,0.094,0.896,0.01,1
RF,2019-10-22,0.119,0.853,0.029,1
RHI,2019-10-23,0.098,0.874,0.028,1
RJF,2019-10-24,0.129,0.837,0.033,1
RL,2019-11-07,0.11,0.873,0.016,1
RMD,2019-07-25,0.132,0.854,0.014,1
ROK,2019-11-12,0.129,0.855,0.016,1
ROL,2019-10-23,0.12,0.866,0.015,1
ROP,2019-10-24,0.116,0.87,0.013,1
ROST,2019-11-21,0.137,0.852,0.011,1
RSG,2019-10-30,0.123,0.855,0.022,1
RTN,2019-10-24,0.132,0.851,0.016,1
SBAC,2019-10-28,0.111,0.874,0.016,1
SBUX,2019-10-30,0.163,0.832,0.005,1
SEE,2019-11-06,0.115,0.868,0.017,1
SHW,2019-10-22,0.13,0.852,0.017,1
SIVB,2019-10-24,0.165,0.812,0.023,1
SJM,2019-08-27,0.112,0.876,0.012,1
SLB,2019-10-18,0.115,0.87,0.015,1
SLG,2019-10-17,0.099,0.88,0.02,1
SNA,2019-10-17,0.14,0.832,0.028,1
SNPS,2019-08-21,0.133,0.842,0.025,1
SO,2019-10-30,0.107,0.873,0.02,1
SPG,2019-10-30,0.113,0.864,0.023,1
SPGI,2019-10-29,0.127,0.857,0.016,1
SRE,2019-11-01,0.128,0.853,0.019,1
STT,2019-10-18,0.103,0.876,0.021,1
STX,2019-11-01,0.104,0.863,0.033,1
STZ,2019-10-03,0.146,0.842,0.012,1
SWK,2019-10-24,0.135,0.85,0.015,1
SWKS,2019-11-12,0.126,0.859,0.015,1
SYF,2019-10-18,0.154,0.837,0.009,1
SYK,2019-10-29,0.13,0.851,0.019,1
SYY,2019-11-04,0.137,0.844,0.019,1
T,2019-10-28,0.13,0.856,0.014,1
TAP,2019-10-30,0.13,0.854,0.015,1
TDG,2019-11-19,0.118,0.867,0.015,1
TEL,2019-10-30,0.106,0.878,0.017,1
TFX,2019-10-31,0.137,0.842,0.02,1
TGT,2019-11-20,0.144,0.843,0.013,1
TIF,2019-08-28,0.112,0.87,0.018,1
TJX,2019-11-19,0.12,0.868,0.012,1
TMO,2019-10-23,0.152,0.828,0.02,1
TMUS,2019-10-28,0.108,0.868,0.024,1
TPR,2019-11-05,0.119,0.859,0.022,1
TRIP,2019-11-06,0.151,0.838,0.012,1
TRV,2019-10-22,0.102,0.858,0.04,1
TSCO,2019-10-24,0.112,0.875,0.013,1
TSN,2019-11-12,0.122,0.851,0.027,1
TTWO,2019-08-05,0.117,0.865,0.018,1
TWTR,2019-10-24,0.129,0.862,0.009,1
TXN,2019-10-22,0.108,0.853,0.039,1
TXT,2019-10-17,0.093,0.89,0.017,1
UAA,2019-11-04,0.128,0.853,0.019,1
UAL,2019-10-16,0.15,0.837,0.012,1
UDR,2019-10-30,0.113,0.868,0.019,1
UHS,2019-10-25,0.102,0.87,0.028,1
ULTA,2019-09-26,0.204,0.776,0.02,1
UNH,2019-10-05,0.128,0.86,0.012,1
UNM,2019-10-30,0.131,0.844,0.025,1
UNP,2019-10-17,0.142,0.825,0.034,1
UPS,2019-10-22,0.152,0.84,0.007,1
URI,2019-10-17,0.123,0.857,0.021,1
USB,2019-09-26,0.119,0.867,0.014,1
UTX,2019-10-22,0.133,0.849,0.017,1
V,2019-10-24,0.117,0.865,0.018,1
VAR,2019-10-23,0.102,0.885,0.013,1
VFC,2019-10-25,0.136,0.848,0.017,1
VLO,2019-10-24,0.095,0.875,0.03,1
VMC,2019-11-06,0.11,0.865,0.025,1
VNO,2019-10-29,0.091,0.887,0.022,1
VRSK,2019-10-30,0.16,0.825,0.015,1
VRSN,2019-10-24,0.073,0.91,0.017,1
VRTX,2019-10-30,0.114,0.873,0.013,1
VTR,2019-10-25,0.099,0.88,0.021,1
VZ,2019-10-25,0.097,0.892,0.01,1
WAB,2019-10-31,0.129,0.857,0.014,1
WAT,2019-10-29,0.136,0.848,0.016,1
WBA,2019-10-28,0.131,0.847,0.022,1
WCG,2019-10-30,0.166,0.824,0.011,1
WDC,2019-10-30,0.104,0.865,0.031,1
WEC,2019-11-06,0.112,0.87,0.018,1
WELL,2019-10-28,0.121,0.862,0.017,1
WFC,2019-10-15,0.135,0.842,0.023,1
WHR,2019-10-22,0.113,0.874,0.014,1
WLTW,2019-10-31,0.127,0.849,0.023,1
WM,2019-10-23,0.11,0.856,0.034,1
WMB,2019-10-30,0.14,0.841,0.019,1
WRB,2019-10-22,0.101,0.843,0.055,1
WRK,2019-11-07,0.084,0.901,0.015,1
WU,2019-10-31,0.14,0.848,0.013,1
WY,2019-10-25,0.103,0.87,0.027,1
WYNN,2019-11-06,0.104,0.879,0.017,1
XEC,2019-11-04,0.111,0.869,0.02,1
XEL,2019-10-24,0.12,0.866,0.013,1
XLNX,2019-10-23,0.117,0.865,0.018,1
XOM,2019-11-01,0.132,0.847,0.021,1
XRAY,2019-11-07,0.143,0.846,0.011,1
XRX,2019-10-29,0.135,0.837,0.028,1
XYL,2019-08-01,0.148,0.834,0.018,1
YUM,2019-10-30,0.157,0.827,0.016,1
ZBH,2019-11-05,0.143,0.836,0.02,1
ZION,2019-10-21,0.126,0.845,0.029,1
ZTS,2019-11-07,0.12,0.865,0.015,1
